station_id,name,lat,lon,capacity,departures,member_departures,casual_departures,avg_duration_min,peak_hour_dep,arrivals,net_flow,total_activity,trips_per_dock_per_day,member_share,has_2023_trips
7197,Queen St W / Dovercourt Rd,43.6438602,-79.4227573,11,10738,812.0,9926.0,17.334200968523003,17.0,11332,594,22070,5.497,0.076,True
7198,Queen St W / Cowan Ave,43.64089724173822,-79.43283582518329,19,5912,413.0,5499.0,18.28509246729815,17.0,6279,367,12191,1.758,0.07,True
7199,College St / Markham St,43.6563888888889,-79.4091666666667,19,25766,1884.0,23882.0,13.751208957540946,17.0,25667,-99,51433,7.416,0.073,True
7202,York St / Queen St W (City Hall),43.65160619179464,-79.38404693334348,27,16265,747.0,15518.0,22.18965672712368,17.0,16047,-218,32312,3.279,0.046,True
7203,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,35,20921,1218.0,19703.0,28.853634306836828,17.0,26629,5708,47550,3.722,0.058,True
7204,College St / Crawford St,43.655,-79.418889,19,18184,1074.0,17110.0,15.780216124065113,17.0,18539,355,36723,5.295,0.059,True
7205,Rusholme Park Cres / College St,43.65277778,-79.42972222,15,9650,413.0,9237.0,15.8379896373057,18.0,9731,81,19381,3.54,0.043,True
7206,Claremont St / Dundas St W,43.651281,-79.411717,13,12389,758.0,11631.0,15.976804692334598,17.0,12455,66,24844,5.236,0.061,True
7207,Dundas St W / Crawford St,43.649722,-79.416944,47,21296,1659.0,19637.0,16.265627347858754,17.0,22441,1145,43737,2.55,0.078,True
7208,80 Clinton St,43.656296,-79.414663,14,12306,723.0,11583.0,14.59074570670134,8.0,12468,162,24774,4.848,0.059,True
7209,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,19,7887,429.0,7458.0,16.78680740458983,8.0,8197,310,16084,2.319,0.054,True
7210,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,15,4221,270.0,3951.0,19.295419726763008,8.0,4472,251,8693,1.588,0.064,True
7216,Ordnance Park,43.6409957,-79.40966630000001,22,13988,1164.0,12824.0,15.982664903250404,8.0,14304,316,28292,3.523,0.083,True
